Machine_ID,Machine_Type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,type,target
M-CNC-031,CNC Milling Spindle (High Precision),298.39,305.02,2864.4,60.09,53,M,0
M-CNC-032,CNC Milling Spindle (High Precision),301.72,309.0,2153.4,34.67,25,L,0
M-CNC-033,CNC Milling Spindle (High Precision),302.3,309.7,1810.3,38.97,133,L,0
M-CNC-034,CNC Milling Spindle (High Precision),302.21,311.02,2355.7,28.37,37,L,0
M-CNC-035,CNC Milling Spindle (High Precision),300.25,304.08,1382.6,51.54,10,H,0
M-CNC-036,CNC Milling Spindle (High Precision),299.84,310.23,2373.5,33.97,131,M,0
M-CNC-037,CNC Milling Spindle (High Precision),298.28,310.72,2369.3,58.97,121,M,0
M-CNC-038,CNC Milling Spindle (High Precision),296.66,307.31,1677.4,34.76,175,M,0
M-CNC-039,CNC Milling Spindle (High Precision),302.24,309.68,2630.7,45.11,108,M,0
M-CNC-040,CNC Milling Spindle (High Precision),297.37,310.5,1705.4,25.97,119,H,0
M-CNC-041,CNC Milling Spindle (High Precision),302.58,312.59,2846.8,39.81,12,L,0
M-CNC-042,CNC Milling Spindle (High Precision),299.0,312.7,2934.5,59.12,60,M,0
M-CNC-043,CNC Milling Spindle (High Precision),301.96,306.85,1505.1,47.27,169,M,0
M-CNC-044,CNC Milling Spindle (High Precision),299.99,304.87,2307.0,64.6,33,M,0
M-CNC-045,CNC Milling Spindle (High Precision),302.14,310.67,2454.6,53.1,71,M,0
M-CNC-046,CNC Milling Spindle (High Precision),301.67,311.29,2760.7,61.53,96,M,0
M-CNC-047,CNC Milling Spindle (High Precision),301.59,309.85,2463.5,56.83,161,M,0
M-CNC-048,CNC Milling Spindle (High Precision),298.63,304.85,2240.9,26.44,89,M,0
M-CNC-049,CNC Milling Spindle (High Precision),298.01,309.32,1254.9,26.49,149,M,0
M-CNC-050,CNC Milling Spindle (High Precision),296.89,308.7,2586.0,33.63,115,H,0
M-CNC-051,CNC Milling Spindle (High Precision),296.36,308.78,2173.1,50.5,133,L,0
M-CNC-052,CNC Milling Spindle (High Precision),299.61,306.91,2631.3,35.83,84,H,0
M-CNC-053,CNC Milling Spindle (High Precision),296.18,312.66,2704.8,52.84,79,H,0
M-CNC-054,CNC Milling Spindle (High Precision),297.1,306.25,2188.6,53.58,122,M,0
M-CNC-055,CNC Milling Spindle (High Precision),302.68,310.64,2197.8,49.47,81,M,0
M-CNC-056,CNC Milling Spindle (High Precision),298.49,310.82,1225.9,29.64,17,H,0
M-CNC-057,CNC Milling Spindle (High Precision),301.99,310.33,2053.5,28.91,93,M,0
M-CNC-058,CNC Milling Spindle (High Precision),297.21,307.9,1917.3,49.63,117,H,0
M-CNC-059,CNC Milling Spindle (High Precision),298.62,309.63,2105.6,59.26,121,H,0
M-CNC-060,CNC Milling Spindle (High Precision),296.49,309.78,1247.7,48.43,169,M,0
M-CNC-061,CNC Milling Spindle (High Precision),298.72,309.79,2024.9,46.82,170,M,0
M-CNC-062,CNC Milling Spindle (High Precision),302.73,312.15,1552.4,27.77,27,H,0
M-CNC-063,CNC Milling Spindle (High Precision),296.66,310.15,1328.1,37.76,153,H,0
M-CNC-064,CNC Milling Spindle (High Precision),301.7,306.54,1412.7,52.87,116,L,0
M-CNC-065,CNC Milling Spindle (High Precision),301.15,311.23,1707.7,32.1,137,L,0
M-CNC-066,CNC Milling Spindle (High Precision),302.93,307.71,1869.6,56.06,67,L,0
M-CNC-067,CNC Milling Spindle (High Precision),302.01,307.86,2551.6,55.18,27,L,0
M-CNC-068,CNC Milling Spindle (High Precision),299.54,311.44,1776.1,60.82,76,H,0
M-CNC-069,CNC Milling Spindle (High Precision),302.34,304.82,1774.8,63.0,171,M,0
M-CNC-070,CNC Milling Spindle (High Precision),300.42,308.04,1727.8,38.15,124,L,0
M-CNC-071,CNC Milling Spindle (High Precision),301.54,311.11,1364.2,44.78,19,M,0
M-CNC-072,CNC Milling Spindle (High Precision),299.09,311.99,1831.6,29.68,34,L,0
M-CNC-073,CNC Milling Spindle (High Precision),300.33,304.91,1351.4,53.04,22,L,0
M-CNC-074,CNC Milling Spindle (High Precision),300.94,304.73,1352.7,64.47,73,M,0
M-CNC-075,CNC Milling Spindle (High Precision),301.69,312.53,2974.8,55.14,73,H,0
M-CNC-076,CNC Milling Spindle (High Precision),301.44,309.03,1963.6,61.25,28,M,0
M-CNC-077,CNC Milling Spindle (High Precision),296.08,308.22,1301.3,29.75,29,M,0
M-CNC-078,CNC Milling Spindle (High Precision),301.22,309.25,2931.9,39.99,58,L,0
M-CNC-079,CNC Milling Spindle (High Precision),297.57,312.67,1221.9,63.8,17,L,0
M-CNC-080,CNC Milling Spindle (High Precision),299.69,312.94,1332.8,47.15,174,M,0
M-CNC-081,CNC Milling Spindle (High Precision),300.41,310.26,2018.2,50.1,109,L,0
M-CNC-082,CNC Milling Spindle (High Precision),296.32,306.53,2910.7,60.61,87,M,0
M-CNC-083,CNC Milling Spindle (High Precision),297.94,305.69,2034.7,39.13,109,H,0
M-CNC-084,CNC Milling Spindle (High Precision),302.82,312.88,2456.7,46.44,62,L,0
M-CNC-085,CNC Milling Spindle (High Precision),300.79,305.46,2839.7,57.9,171,L,0
M-CNC-086,CNC Milling Spindle (High Precision),300.29,307.76,2878.9,59.64,17,H,0
M-CNC-087,CNC Milling Spindle (High Precision),298.64,311.29,2977.1,31.02,111,M,0
M-CNC-088,CNC Milling Spindle (High Precision),302.79,311.58,2709.0,43.75,80,M,0
M-CNC-089,CNC Milling Spindle (High Precision),296.39,311.78,2663.2,64.99,179,M,0
M-CNC-090,CNC Milling Spindle (High Precision),301.38,312.5,2729.4,34.89,86,H,0
M-CNC-091,CNC Milling Spindle (High Precision),302.68,309.46,1611.6,51.87,115,M,0
M-CNC-092,CNC Milling Spindle (High Precision),296.79,310.04,2136.6,55.89,98,L,0
M-CNC-093,CNC Milling Spindle (High Precision),299.86,309.05,2778.0,41.14,32,H,0
M-CNC-094,CNC Milling Spindle (High Precision),301.29,309.58,2467.3,33.52,33,H,0
M-CNC-095,CNC Milling Spindle (High Precision),298.45,309.31,1906.0,42.5,163,M,0
M-CNC-096,CNC Milling Spindle (High Precision),299.6,311.05,1913.8,49.88,156,L,0
M-CNC-097,CNC Milling Spindle (High Precision),297.03,312.34,2085.8,35.33,88,L,0
M-CNC-098,CNC Milling Spindle (High Precision),299.45,306.96,2340.1,34.61,22,H,0
M-CNC-099,CNC Milling Spindle (High Precision),296.9,305.37,1449.9,50.63,40,M,0
M-CNC-100,CNC Milling Spindle (High Precision),302.28,308.27,2401.6,31.89,42,H,0
M-CNC-101,CNC Milling Spindle (High Precision),297.18,306.51,1518.6,28.55,30,M,0
M-CNC-102,CNC Milling Spindle (High Precision),297.44,307.28,2106.2,52.62,16,L,0
M-CNC-103,CNC Milling Spindle (High Precision),300.4,304.74,2772.4,61.83,20,M,0
M-CNC-104,CNC Milling Spindle (High Precision),301.64,310.73,1532.1,33.37,72,M,0
M-CNC-105,CNC Milling Spindle (High Precision),300.33,307.32,2032.6,54.9,16,M,0
M-CNC-106,CNC Milling Spindle (High Precision),300.99,312.06,2121.0,46.28,28,M,0
M-CNC-107,CNC Milling Spindle (High Precision),299.73,306.18,1684.6,40.09,13,M,0
M-CNC-108,CNC Milling Spindle (High Precision),297.48,306.95,1415.6,60.62,110,M,0
M-CNC-109,CNC Milling Spindle (High Precision),301.52,308.49,1356.5,46.48,109,L,0
M-CNC-110,CNC Milling Spindle (High Precision),299.02,305.15,1710.8,39.52,119,M,0
M-CNC-111,CNC Milling Spindle (High Precision),298.49,312.88,2290.4,34.49,27,H,0
M-CNC-112,CNC Milling Spindle (High Precision),297.72,305.45,1535.8,36.4,39,L,0
M-CNC-113,CNC Milling Spindle (High Precision),296.56,308.72,1938.7,64.3,29,M,0
M-CNC-114,CNC Milling Spindle (High Precision),302.79,311.79,2670.7,35.32,39,M,0
M-CNC-115,CNC Milling Spindle (High Precision),302.51,309.01,2228.9,36.2,140,H,0
M-CNC-116,CNC Milling Spindle (High Precision),298.27,307.83,2113.7,34.7,29,M,0
M-CNC-117,CNC Milling Spindle (High Precision),298.02,309.23,1477.9,44.25,100,H,0
M-CNC-118,CNC Milling Spindle (High Precision),298.36,305.21,1314.1,64.6,64,L,0
M-CNC-119,CNC Milling Spindle (High Precision),297.78,310.13,2568.4,48.83,90,M,0
M-CNC-120,CNC Milling Spindle (High Precision),298.44,312.37,2695.1,63.6,31,L,0
M-CNC-121,CNC Milling Spindle (High Precision),302.57,305.63,1319.7,54.64,107,L,0
M-CNC-122,CNC Milling Spindle (High Precision),296.98,311.16,1562.9,31.55,37,L,0
M-CNC-123,CNC Milling Spindle (High Precision),300.66,308.71,1845.9,60.09,76,L,0
M-CNC-124,CNC Milling Spindle (High Precision),299.07,307.39,2032.8,37.06,137,M,0
M-CNC-125,CNC Milling Spindle (High Precision),297.63,312.1,1891.0,46.74,164,M,0
M-CNC-126,CNC Milling Spindle (High Precision),296.82,312.46,2329.9,38.4,33,L,0
M-CNC-127,CNC Milling Spindle (High Precision),300.34,308.8,2809.0,56.54,35,M,0
M-CNC-128,CNC Milling Spindle (High Precision),297.74,310.7,1260.4,47.8,139,L,0
M-CNC-129,CNC Milling Spindle (High Precision),298.39,311.39,1399.1,58.86,31,M,0
M-CNC-130,CNC Milling Spindle (High Precision),301.58,305.35,1612.7,53.89,132,M,0
M-CNC-131,CNC Milling Spindle (High Precision),300.86,308.88,1653.2,38.83,40,L,0
M-CNC-132,CNC Milling Spindle (High Precision),300.08,307.61,2031.6,62.89,36,M,0
M-CNC-133,CNC Milling Spindle (High Precision),299.54,309.5,1232.6,59.88,168,M,0
M-CNC-134,CNC Milling Spindle (High Precision),300.88,312.3,2473.0,31.1,107,M,0
M-CNC-135,CNC Milling Spindle (High Precision),298.97,310.63,2881.9,62.02,86,H,0
M-CNC-136,CNC Milling Spindle (High Precision),302.89,311.55,1424.4,61.83,157,M,0
M-CNC-137,CNC Milling Spindle (High Precision),300.14,307.59,1298.6,38.41,146,H,0
M-CNC-138,CNC Milling Spindle (High Precision),298.33,307.58,2167.3,61.79,68,M,0
M-CNC-139,CNC Milling Spindle (High Precision),301.16,308.07,1604.3,43.1,33,H,0
M-CNC-140,CNC Milling Spindle (High Precision),299.49,307.77,2846.7,39.5,108,M,0
M-CNC-141,CNC Milling Spindle (High Precision),296.09,309.97,1520.5,63.44,35,M,0
M-CNC-142,CNC Milling Spindle (High Precision),296.6,312.97,2104.0,48.82,21,L,0
M-CNC-143,CNC Milling Spindle (High Precision),297.47,312.08,1569.3,32.63,16,M,0
M-CNC-144,CNC Milling Spindle (High Precision),299.95,304.59,2595.9,43.13,99,M,0
M-CNC-145,CNC Milling Spindle (High Precision),298.81,309.04,1479.4,32.28,156,L,0
M-CNC-146,CNC Milling Spindle (High Precision),298.61,306.44,2359.2,41.35,14,H,0
M-CNC-147,CNC Milling Spindle (High Precision),301.01,309.93,1248.8,33.88,49,M,0
M-CNC-148,CNC Milling Spindle (High Precision),296.14,304.94,2639.8,32.14,120,M,0
M-CNC-149,CNC Milling Spindle (High Precision),296.7,306.19,2500.1,59.23,151,M,0
M-CNC-150,CNC Milling Spindle (High Precision),300.68,305.84,1727.7,60.85,12,H,0
M-CNC-151,CNC Milling Spindle (High Precision),297.46,304.24,1526.6,48.32,81,L,0
M-CNC-152,CNC Milling Spindle (High Precision),301.72,307.08,1667.0,40.19,110,M,0
M-CNC-153,CNC Milling Spindle (High Precision),300.37,307.68,2193.7,42.45,60,L,0
M-CNC-154,CNC Milling Spindle (High Precision),301.35,305.26,2763.2,44.5,162,L,0
M-CNC-155,CNC Milling Spindle (High Precision),298.98,304.2,1683.6,46.67,117,M,0
M-CNC-156,CNC Milling Spindle (High Precision),296.98,311.51,2971.9,46.03,39,M,0
M-CNC-157,CNC Milling Spindle (High Precision),296.13,312.23,1412.0,48.06,56,M,0
M-CNC-158,CNC Milling Spindle (High Precision),300.56,311.47,1571.6,25.44,33,L,0
M-CNC-159,CNC Milling Spindle (High Precision),302.12,309.38,2280.9,51.6,39,L,0
M-CNC-160,CNC Milling Spindle (High Precision),298.93,307.45,2134.1,26.88,38,L,0
M-CNC-161,CNC Milling Spindle (High Precision),296.58,309.43,1641.6,40.57,59,M,0
M-CNC-162,CNC Milling Spindle (High Precision),301.03,306.67,2219.5,44.04,122,L,0
M-CNC-163,CNC Milling Spindle (High Precision),301.13,305.93,1256.1,35.49,111,H,0
M-CNC-164,CNC Milling Spindle (High Precision),299.47,309.37,1801.6,55.84,28,H,0
M-CNC-165,CNC Milling Spindle (High Precision),301.1,308.46,2439.1,42.39,51,L,0
M-CNC-166,CNC Milling Spindle (High Precision),301.6,310.25,1689.9,48.61,71,H,0
M-CNC-167,CNC Milling Spindle (High Precision),302.42,305.23,2910.4,42.84,41,M,0
M-CNC-168,CNC Milling Spindle (High Precision),302.11,310.59,2651.8,51.35,127,L,0
M-CNC-169,CNC Milling Spindle (High Precision),297.75,308.4,1598.2,64.51,170,H,0
M-CNC-170,CNC Milling Spindle (High Precision),300.94,312.33,1525.0,47.72,165,H,0
M-CNC-171,CNC Milling Spindle (High Precision),300.88,306.68,2863.9,63.84,170,M,0
M-CNC-172,CNC Milling Spindle (High Precision),302.03,311.6,1774.4,58.16,16,M,0
M-CNC-173,CNC Milling Spindle (High Precision),297.61,305.09,1338.5,52.85,67,L,0
M-CNC-174,CNC Milling Spindle (High Precision),296.46,306.84,2171.1,56.63,64,M,0
M-CNC-175,CNC Milling Spindle (High Precision),302.2,309.54,1619.3,25.98,157,H,0
M-CNC-176,CNC Milling Spindle (High Precision),302.12,308.76,2890.3,56.95,179,M,0
M-CNC-177,CNC Milling Spindle (High Precision),301.37,307.62,2063.8,50.1,158,L,0
M-CNC-178,CNC Milling Spindle (High Precision),301.38,307.76,1958.4,54.5,50,H,0
M-CNC-179,CNC Milling Spindle (High Precision),298.48,306.59,1733.4,34.34,17,H,0
M-CNC-180,CNC Milling Spindle (High Precision),302.91,307.85,1891.8,52.19,47,L,0
M-CNC-181,CNC Milling Spindle (High Precision),301.5,304.8,1951.6,60.16,170,M,0
M-CNC-182,CNC Milling Spindle (High Precision),300.29,305.5,2984.1,34.27,170,M,0
M-CNC-183,CNC Milling Spindle (High Precision),300.25,308.61,1615.2,32.06,47,H,0
M-CNC-184,CNC Milling Spindle (High Precision),301.46,307.15,1304.1,63.76,160,L,0
M-CNC-185,CNC Milling Spindle (High Precision),302.96,305.57,1913.2,55.33,128,H,0
M-CNC-186,CNC Milling Spindle (High Precision),301.71,306.02,1602.9,46.48,110,M,0
M-CNC-187,CNC Milling Spindle (High Precision),296.64,311.9,1678.1,30.18,161,L,0
M-CNC-188,CNC Milling Spindle (High Precision),302.03,311.29,2379.4,47.03,24,M,0
M-CNC-189,CNC Milling Spindle (High Precision),298.61,306.34,2502.2,44.84,23,M,0
M-CNC-190,CNC Milling Spindle (High Precision),300.78,304.69,2732.2,44.81,91,M,0
M-CNC-191,CNC Milling Spindle (High Precision),301.77,307.13,2420.4,47.63,55,L,0
M-CNC-192,CNC Milling Spindle (High Precision),301.58,309.93,2731.0,59.69,130,L,0
M-CNC-193,CNC Milling Spindle (High Precision),300.88,310.12,2313.5,55.11,36,L,0
M-CNC-194,CNC Milling Spindle (High Precision),302.1,304.26,2686.5,30.15,66,L,0
M-CNC-195,CNC Milling Spindle (High Precision),297.13,311.36,2697.8,45.3,11,M,0
M-CNC-196,CNC Milling Spindle (High Precision),300.32,312.83,2337.3,35.39,117,M,0
M-CNC-197,CNC Milling Spindle (High Precision),301.46,304.96,2569.9,46.65,173,M,0
M-CNC-198,CNC Milling Spindle (High Precision),300.43,312.39,1384.5,62.49,126,H,0
M-CNC-199,CNC Milling Spindle (High Precision),298.11,310.37,1321.2,48.29,68,M,0
M-CNC-200,CNC Milling Spindle (High Precision),296.32,311.84,2952.3,63.76,137,H,0
M-CNC-201,CNC Milling Spindle (High Precision),301.31,304.22,1239.8,37.94,93,L,0
M-CNC-202,CNC Milling Spindle (High Precision),300.78,308.01,1692.5,64.88,82,M,0
M-CNC-203,CNC Milling Spindle (High Precision),297.15,311.15,2448.6,33.83,24,M,0
M-CNC-204,CNC Milling Spindle (High Precision),300.58,306.46,2911.6,31.04,83,L,0
M-CNC-205,CNC Milling Spindle (High Precision),298.94,309.75,1915.7,35.97,177,M,0
M-CNC-206,CNC Milling Spindle (High Precision),302.26,306.07,1583.6,26.25,120,M,0
M-CNC-207,CNC Milling Spindle (High Precision),302.05,308.26,2942.7,32.42,157,L,0
M-CNC-208,CNC Milling Spindle (High Precision),301.4,311.6,2569.8,50.05,32,H,0
M-CNC-209,CNC Milling Spindle (High Precision),302.45,309.55,2633.8,44.26,29,H,0
M-CNC-210,CNC Milling Spindle (High Precision),300.8,307.87,1560.9,44.66,20,M,0
M-CNC-211,CNC Milling Spindle (High Precision),297.88,311.18,1758.7,43.21,11,H,0
M-CNC-212,CNC Milling Spindle (High Precision),298.75,308.32,2280.0,36.67,128,L,0
M-CNC-213,CNC Milling Spindle (High Precision),301.46,304.36,2064.9,29.2,51,L,0
M-CNC-214,CNC Milling Spindle (High Precision),297.0,308.49,2312.7,53.1,105,H,0
M-CNC-215,CNC Milling Spindle (High Precision),298.29,308.66,1358.2,39.03,15,H,0
M-CNC-216,CNC Milling Spindle (High Precision),298.78,305.19,2221.6,52.58,146,M,0
M-CNC-217,CNC Milling Spindle (High Precision),297.17,304.94,2345.6,53.26,15,L,0
M-CNC-218,CNC Milling Spindle (High Precision),296.36,308.87,2476.3,59.84,131,L,0
M-CNC-219,CNC Milling Spindle (High Precision),298.38,311.33,1344.2,60.79,103,L,0
M-CNC-220,CNC Milling Spindle (High Precision),299.17,309.79,2147.5,54.26,23,H,0
M-CNC-221,CNC Milling Spindle (High Precision),297.73,305.44,2769.2,33.77,175,M,0
M-CNC-222,CNC Milling Spindle (High Precision),297.27,311.11,2385.7,44.93,104,L,0
M-CNC-223,CNC Milling Spindle (High Precision),297.6,312.97,2954.6,51.01,43,M,0
M-CNC-224,CNC Milling Spindle (High Precision),296.51,304.28,1663.8,43.5,157,L,0
M-CNC-225,CNC Milling Spindle (High Precision),301.2,307.83,1822.7,39.84,177,H,0
M-CNC-226,CNC Milling Spindle (High Precision),302.07,309.21,1989.5,54.01,92,L,0
M-CNC-227,CNC Milling Spindle (High Precision),302.3,307.8,1698.3,48.69,165,M,0
M-CNC-228,CNC Milling Spindle (High Precision),300.36,309.68,2519.6,30.26,131,L,0
M-CNC-229,CNC Milling Spindle (High Precision),297.26,306.14,2948.5,32.24,155,M,0
M-CNC-230,CNC Milling Spindle (High Precision),297.73,311.84,2001.5,45.59,71,M,0
M-CNC-231,CNC Milling Spindle (High Precision),297.14,307.52,2944.9,35.33,121,M,0
M-CNC-232,CNC Milling Spindle (High Precision),301.41,305.18,2945.7,43.15,50,H,0
M-CNC-233,CNC Milling Spindle (High Precision),297.19,308.68,1806.6,58.16,83,M,0
M-CNC-234,CNC Milling Spindle (High Precision),300.32,310.36,1500.7,31.7,16,L,0
M-CNC-235,CNC Milling Spindle (High Precision),300.65,308.27,2719.5,57.23,109,L,0
M-CNC-236,CNC Milling Spindle (High Precision),297.44,305.01,1685.5,27.28,100,L,0
M-CNC-237,CNC Milling Spindle (High Precision),296.28,305.1,2014.0,62.36,63,M,0
M-CNC-238,CNC Milling Spindle (High Precision),296.29,305.34,2975.9,63.6,10,L,0
M-CNC-239,CNC Milling Spindle (High Precision),300.47,311.81,2018.5,45.62,93,M,0
M-CNC-240,CNC Milling Spindle (High Precision),296.98,304.27,1754.3,53.19,44,M,0
M-CNC-241,CNC Milling Spindle (High Precision),302.79,304.85,2410.7,42.75,157,H,0
M-CNC-242,CNC Milling Spindle (High Precision),300.85,311.54,2900.3,52.33,94,M,0
M-CNC-243,CNC Milling Spindle (High Precision),302.08,309.14,1254.7,62.24,127,M,0
M-CNC-244,CNC Milling Spindle (High Precision),297.51,309.93,1909.0,51.05,28,M,0
M-CNC-245,CNC Milling Spindle (High Precision),303.0,304.43,2958.9,41.28,158,L,0
M-CNC-246,CNC Milling Spindle (High Precision),299.97,310.65,2781.3,41.17,65,M,0
M-CNC-247,CNC Milling Spindle (High Precision),301.65,310.86,2636.1,42.42,149,H,0
M-CNC-248,CNC Milling Spindle (High Precision),299.81,304.05,1784.3,39.66,77,M,0
M-CNC-249,CNC Milling Spindle (High Precision),298.72,308.04,1627.6,39.93,48,H,0
M-CNC-250,CNC Milling Spindle (High Precision),300.22,310.01,2315.1,43.54,74,L,0
M-CNC-251,CNC Milling Spindle (High Precision),299.63,308.31,1246.2,38.65,74,M,0
M-CNC-252,CNC Milling Spindle (High Precision),300.06,308.8,2294.2,55.6,148,L,0
M-CNC-253,CNC Milling Spindle (High Precision),302.69,304.16,1552.4,25.3,120,L,0
M-CNC-254,CNC Milling Spindle (High Precision),297.7,312.34,1308.5,62.38,69,H,0
M-CNC-255,CNC Milling Spindle (High Precision),299.4,306.31,1712.8,37.29,146,M,0
M-CNC-256,CNC Milling Spindle (High Precision),298.18,309.49,2489.1,35.9,80,H,0
M-CNC-257,CNC Milling Spindle (High Precision),297.27,310.13,1526.6,46.01,130,H,0
M-CNC-258,CNC Milling Spindle (High Precision),299.97,306.31,2933.3,44.34,147,M,0
M-CNC-259,CNC Milling Spindle (High Precision),296.3,309.7,2912.5,49.06,149,L,0
M-CNC-260,CNC Milling Spindle (High Precision),297.6,305.91,2299.8,41.44,152,L,0
M-CNC-261,CNC Milling Spindle (High Precision),298.47,306.13,2604.9,35.99,149,M,0
M-CNC-262,CNC Milling Spindle (High Precision),300.67,304.86,2322.9,43.07,109,H,0
M-CNC-263,CNC Milling Spindle (High Precision),301.16,311.77,1590.1,28.83,14,M,0
M-CNC-264,CNC Milling Spindle (High Precision),300.25,308.92,1617.5,40.64,111,M,0
M-CNC-265,CNC Milling Spindle (High Precision),302.91,305.23,2451.3,41.17,82,L,0
M-CNC-266,CNC Milling Spindle (High Precision),300.85,312.92,1431.1,29.16,133,M,0
M-CNC-267,CNC Milling Spindle (High Precision),297.92,304.71,1354.2,60.77,42,M,0
M-CNC-268,CNC Milling Spindle (High Precision),297.59,307.19,1325.0,45.76,21,L,0
M-CNC-269,CNC Milling Spindle (High Precision),297.64,308.86,2784.1,51.04,100,M,0
M-CNC-270,CNC Milling Spindle (High Precision),298.33,310.03,2989.5,51.47,104,L,0
M-CNC-271,CNC Milling Spindle (High Precision),299.26,304.54,2212.1,63.31,39,M,0
M-CNC-272,CNC Milling Spindle (High Precision),297.41,308.82,1374.0,43.01,138,M,0
M-CNC-273,CNC Milling Spindle (High Precision),300.65,311.16,2868.9,34.39,77,H,0
M-CNC-274,CNC Milling Spindle (High Precision),302.95,312.34,2171.9,58.68,98,M,0
M-CNC-275,CNC Milling Spindle (High Precision),296.62,310.8,1429.9,58.04,142,L,0
M-CNC-276,CNC Milling Spindle (High Precision),296.25,306.73,1673.6,39.41,24,L,0
M-CNC-277,CNC Milling Spindle (High Precision),299.88,306.75,1914.6,42.89,112,M,0
M-CNC-278,CNC Milling Spindle (High Precision),302.44,308.47,2985.9,59.06,45,L,0
M-CNC-279,CNC Milling Spindle (High Precision),296.81,311.36,1885.1,60.12,157,L,0
M-CNC-280,CNC Milling Spindle (High Precision),301.53,306.74,1345.7,41.12,39,M,0
M-CNC-281,CNC Milling Spindle (High Precision),298.42,312.78,2353.7,57.9,32,L,0
M-CNC-282,CNC Milling Spindle (High Precision),302.46,308.38,2291.3,55.59,39,M,0
M-CNC-283,CNC Milling Spindle (High Precision),298.79,305.32,1861.6,27.73,14,H,0
M-CNC-284,CNC Milling Spindle (High Precision),302.74,308.95,2938.5,42.3,63,M,0
M-CNC-285,CNC Milling Spindle (High Precision),299.08,304.95,2353.5,33.64,115,M,0
M-CNC-286,CNC Milling Spindle (High Precision),297.06,304.55,2605.4,43.39,19,L,0
M-CNC-287,CNC Milling Spindle (High Precision),296.4,310.26,2970.6,34.57,34,H,0
M-CNC-288,CNC Milling Spindle (High Precision),298.12,304.91,2445.9,27.49,96,L,0
M-CNC-289,CNC Milling Spindle (High Precision),301.7,309.54,1751.3,49.96,99,M,0
M-CNC-290,CNC Milling Spindle (High Precision),296.91,311.98,2009.6,32.78,72,M,0
M-CNC-291,CNC Milling Spindle (High Precision),301.79,310.6,2584.7,25.44,80,M,0
M-CNC-292,CNC Milling Spindle (High Precision),296.13,306.34,2568.5,30.48,101,M,0
M-CNC-293,CNC Milling Spindle (High Precision),296.08,306.17,2956.6,57.06,173,M,0
M-CNC-294,CNC Milling Spindle (High Precision),296.77,308.93,2017.9,58.77,26,M,0
M-CNC-295,CNC Milling Spindle (High Precision),297.05,306.92,2527.2,44.04,73,M,0
